DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",03/12/2012,@,
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",19/12/2011,@,
D,Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia",@,1983,
DOV,Dover Corp.,Industrials,Industrial Machinery,"Downers Grove, Illinois",31/10/1985,@,
DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",01/04/2019,2019,
DTE,DTE Energy Co.,Utilities,Multi-Utilities,"Detroit, Michigan",@,1995,
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",30/06/1976,@,
DRE,Duke Realty Corp,Real Estate,Industrial REITs,"Indianapolis, Indiana",26/07/2017,@,
DD,DuPont de Nemours Inc,Materials,Specialty Chemicals,"Midland, Michigan",02/04/2019,2017,
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",04/04/2017,2017,
ETFC,E*Trade,Financials,Investment Banking & Brokerage,"New York, New York",31/03/2004,@,
EMN,Eastman Chemical,Materials,Diversified Chemicals,"Kingsport, Tennessee",01/01/1994,@,
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",@,1911,
EBAY,eBay Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",@,1995,
ECL,Ecolab Inc.,Materials,Specialty Chemicals,"St. Paul, Minnesota",31/01/1989,@,
EIX,Edison Int'l,Utilities,Electric Utilities,"Rosemead, California",@,1886,
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",01/04/2011,@,
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",22/07/2002,@,
EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",31/03/1965,1890,
ETR,Entergy Corp.,Utilities,Electric Utilities,"New Orleans, Louisiana",@,1913,
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",02/11/2000,@,
EFX,Equifax Inc.,Industrials,Research & Consulting Services,"Atlanta, Georgia",19/06/1997,@,
EQIX,Equinix,Real Estate,Specialized REITs,"Redwood City, California",20/03/2015,@,
EQR,Equity Residential,Real Estate,Residential REITs,"Chicago, Illinois",03/12/2001,@,
ESS,"Essex Property Trust, Inc.",Real Estate,Residential REITs,"Palo Alto, California",02/04/2014,@,
EL,Est��e Lauder Compa,Consumer Staples,Personal Products,"New York, New York",05/01/2006,@,
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",05/06/2018,1909,
ES,Eversource Energy,Utilities,Multi-Utilities,"Springfield, Massachusetts",@,1966,
RE,Everest Re Group Ltd.,Financials,Reinsurance,"Hamilton, Bermuda",19/06/2017,@,
EXC,Exelon Corp.,Utilities,Multi-Utilities,"Chicago, Illinois",@,2000,
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",02/10/2007,@,
EXPD,Expeditors,Industrials,Air Freight & Logistics,"Seattle, Washington",10/10/2007,@,
EXR,Extra Space Storage,Real Estate,Specialized REITs,"Salt Lake City, Utah",19/01/2016,@,
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"Irving, Texas",@,1999,
FFIV,F5 Networks,Information Technology,Communications Equipment,"Seattle, Washington",20/12/2010,1996,
FB,"Facebook, Inc.",Communication Services,Interactive Media & Services,"Menlo Park, California",23/12/2013,@,
FAST,Fastenal Co,Industrials,Building Products,"Winona, Minnesota",15/09/2008,@,
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland",01/02/2016,@,
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,"Memphis, Tennessee",31/12/1980,@,
FIS,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",10/11/2006,@,
FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",@,1858,
FE,FirstEnergy Corp,Utilities,Electric Utilities,"Akron, Ohio",@,1997,
FRC,First Republic Bank,Financials,Regional Banks,"San Francisco, California",02/01/2019,1985,
FISV,Fiserv Inc,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",02/04/2001,@,
FLT,FleetCor Technologies Inc,Information Technology,Data Processing & Outsourced Services,"Norcross, Georgia",20/06/2018,2000,
FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments,"Wilsonville, Oregon",02/01/2009,@,
FLS,Flowserve Corporation,Industrials,Industrial Machinery,"Irving, Texas",02/10/2008,@,
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",19/08/2009,@,
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",@,1903,
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",11/10/2018,2000,
FTV,Fortive Corp,Industrials,Industrial Machinery,"Everett, Washington",01/07/2016,2016,
FBHS,Fortune Brands Home & Security,Industrials,Building Products,"Deerfield, Illinois",22/06/2016,@,
FOXA,Fox Corporation Class A,Communication Services,Movies & Entertainment,"New York, New York",01/07/2013,@,
FOX,Fox Corporation Class B,Communication Services,Movies & Entertainment,"New York, New York",18/09/2015,@,
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",@,1947,
FCX,Freeport-McMoRan Inc.,Materials,Copper,"Phoenix, Arizona",@,1912,
GPS,Gap Inc.,Consumer Discretionary,Apparel Retail,"San Francisco, California",31/08/1986,@,
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",12/12/2012,@,
IT,Gartner Inc,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",05/04/2017,@,
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",@,1899,
GE,General Electric,Industrials,Industrial Conglomerates,"Boston, Massachusetts",@,1892,
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",31/03/1969,1856,
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",06/06/2013,@,
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",31/12/1973,1925,
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",01/07/2004,@,
GL,Globe Life Inc.,Financials,Life & Health Insurance,"McKinney, Texas",30/04/1989,@,
GPN,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",25/04/2016,@,
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,"New York, New York",22/07/2002,@,
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,"Lake Forest, Illinois",30/06/1981,@,
HRB,H&R Block,Consumer Discretionary,Specialized Consumer Services,"Kansas City, Missouri",30/11/1986,@,
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",@,1919,
HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",20/03/2015,2000,
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",@,1903,
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,"Hartford, Connecticut",@,@,
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",30/09/1984,@,
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",27/01/2015,@,
PEAK,Healthpeak Properties,Real Estate,Health Care REITs,"Long Beach, California",31/03/2008,@,
HP,Helmerich & Payne,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[5]",01/03/2010,@,
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",17/03/2015,@,
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",@,1894,
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York, New York",31/05/1984,@,
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",02/11/2015,2015,
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",19/06/2017,@,
HFC,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas",18/06/2018,@,
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",30/03/2016,@,
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",31/03/1988,@,
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,"Morristown, New Jersey",31/03/1964,1906,
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",04/03/2009,@,
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",20/03/2007,@,
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",31/12/1974,1939 (2015),
HUM,Humana Inc.,Health Care,Managed Health Care,"Louisville, Kentucky",@,1961,
HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio",@,1866,
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",03/01/2018,@,
IEX,IDEX Corporation,Industrials,Industrial Machinery,"Lake Forest, Illinois",09/08/2019,1988,
IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",05/01/2017,@,
INFO,IHS Markit Ltd.,Industrials,Research & Consulting Services,"London, United Kingdom",02/06/2017,@,
ITW,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois",28/02/1986,@,
ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,"San Diego, California",19/11/2015,@,
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",28/02/2017,@,
IR,Ingersoll Rand,Industrials,Industrial Machinery,"Milwaukee, Wisconsin",03/03/2020,@,
INTC,Intel Corp.,Information Technology,Semiconductors,"Santa Clara, California",31/12/1976,@,
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",26/09/2007,@,
IBM,International Business Machines,Information Technology,IT Consulting & Other Services,"Armonk, New York",@,1911,
IP,International Paper,Materials,Paper Packaging,"Memphis, Tennessee",@,1898,
IPG,Interpublic Group,Communication Services,Advertising,"New York, New York",01/10/1992,@,
IFF,Intl Flavors & Fragrances,Materials,Specialty Chemicals,"New York, New York",31/03/1976,@,
INTU,Intuit Inc.,Information Technology,Application Software,"Mountain View, California",05/12/2000,@,
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,"Sunnyvale, California",02/06/2008,@,
IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",21/08/2008,@,
IPGP,IPG Photonics Corp.,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",07/03/2018,@,
IQV,IQVIA Holdings Inc.,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",29/08/2017,@,
IRM,Iron Mountain Incorporated,Real Estate,Specialized REITs,"Boston, Massachusetts",06/01/2009,@,
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",13/11/2018,1976,
J,Jacobs Engineering Group,Industrials,Construction & Engineering,"Dallas, Texas",26/10/2007,@,
JBHT,J. B. Hunt Transport Services,Industrials,Trucking,"Lowell, Arkansas",01/07/2015,@,
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",06/11/2008,@,
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",30/06/1973,1886,
JCI,Johnson Controls International,Industrials,Building Products,"Cork, Ireland",27/08/2010,@,
JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,"New York, New York",30/06/1975,@,
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",02/06/2006,1996,
KSU,Kansas City Southern,Industrials,Railroads,"Kansas City, Missouri",24/05/2013,@,
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",@,1906,
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",01/03/1994,@,
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",06/11/2018,2014,
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",@,1872,
KIM,Kimco Realty,Real Estate,Retail REITs,"New Hyde Park, New York",04/04/2006,@,
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",25/05/2012,@,
